FIRMA;DIL;Login;WaitTime;WaitCount;CustomMaxAnswered;MEDIATION_DURATION;SAAT
3;1;3;0;0;2;0;3
4;2;5;28;1;272;31;3
1;2;7;11;1;630;222;3
2;2;9;68;2;324;237;3
3;2;2;185;1;338;336;3
2;1;7;0;0;229;26;3
1;2;6;363;3;656;628;3
2;2;10;0;0;324;93;3
2;2;9;39;1;324;69;3
1;2;7;239;2;630;127;3
2;2;9;268;4;816;165;3
4;2;5;186;1;262;233;3
2;2;8;42;2;324;203;3
4;2;5;125;1;561;202;3
4;2;5;51;1;561;260;3
4;2;5;154;2;561;223;3
2;2;10;10;1;324;98;3
1;1;16;0;0;3;0;3
2;1;7;0;0;338;31;3
1;2;7;404;2;483;506;3
4;2;5;223;1;561;96;3
3;2;2;0;0;338;428;3
1;2;7;512;2;483;314;3
3;1;3;0;0;40;0;3
3;1;3;0;0;2;0;3
3;2;2;0;0;920;337;3
1;2;8;569;9;636;1431;2
4;2;5;100;1;561;87;3
2;2;9;310;2;299;95;3
4;2;5;90;1;561;176;3
2;2;9;60;1;324;12;3
2;1;6;0;0;338;61;3
4;2;5;26;1;561;116;3
2;2;9;182;2;379;155;3
1;2;8;599;10;636;1422;2
3;1;3;0;0;2;40;3
1;2;7;383;3;656;398;3
2;2;9;118;2;816;174;3
1;1;16;0;0;3;0;3
4;2;5;23;1;561;108;3
1;1;15;0;0;2;0;3
1;1;16;0;0;2;0;3
1;1;16;0;0;3;0;3
3;2;2;0;0;920;3;3
2;2;9;169;4;816;149;3
2;2;9;136;3;816;245;3
2;2;9;167;4;816;297;3
4;2;5;452;2;417;233;3
4;1;5;0;0;3;0;3
4;2;5;185;2;638;559;3
2;2;9;132;2;816;169;3
4;2;5;261;2;417;357;3
2;2;10;327;4;891;180;3
1;2;7;265;3;656;481;3
4;2;5;87;1;638;176;2
2;1;6;0;0;2;0;3
2;1;6;0;0;204;186;3
3;1;3;0;0;2;0;3
2;2;9;166;4;816;78;3
4;2;5;177;1;638;394;3
2;2;10;376;4;891;176;3
3;2;2;179;1;1758;918;2
2;1;7;0;0;2;0;2
2;2;15;740;6;891;378;2
4;1;5;0;0;3;1;3
1;1;16;0;0;2;0;3
1;2;7;392;2;620;330;2
1;2;7;451;3;961;477;2
4;2;4;521;2;662;178;2
2;2;15;629;8;738;698;2
4;2;5;100;2;662;257;2
3;2;2;0;0;920;53;3
4;2;5;117;2;638;416;2
1;1;16;0;0;2;1;3
2;2;8;126;3;891;276;3
2;1;6;0;0;2;202;3
2;2;16;861;19;893;736;2
4;1;5;0;0;3;1;3
4;1;5;0;0;3;1;2
1;2;8;295;5;1433;410;2
3;2;2;2051;3;0;1236;2
4;2;5;149;2;662;145;2
2;2;11;323;3;891;179;3
1;2;7;288;4;1433;654;2
2;2;15;730;5;891;360;2
4;1;5;0;0;3;1;3
3;2;2;329;1;1758;898;2
2;2;16;693;13;1006;806;2
3;1;3;0;0;2;0;3
3;1;3;0;0;2;0;3
4;2;5;757;5;1053;598;2
2;2;15;517;8;839;757;2
1;2;8;910;5;1433;288;2
3;1;3;0;0;3;0;2
1;1;15;0;0;3;1;3
2;2;16;549;11;1006;889;2
2;1;7;0;0;2;0;2
2;2;16;578;10;1006;544;2
2;2;16;830;10;1006;482;2
1;1;15;0;0;3;0;3
2;2;15;579;10;1006;790;2
3;2;2;918;1;1758;490;2
1;2;8;260;3;1433;411;2
4;1;5;0;0;3;1;3
2;2;16;707;11;1006;587;2
1;2;8;321;6;1433;619;2
2;2;16;622;11;1006;870;2
4;2;5;53;2;662;120;2
4;2;5;139;1;662;101;2
2;2;16;775;15;893;584;2
2;2;16;581;12;1006;858;2
1;1;16;0;0;3;0;2
2;1;7;0;0;3;0;2
4;2;4;441;3;946;637;2
4;2;4;373;2;662;353;2
1;2;8;1116;9;1119;718;2
1;2;8;1234;7;1338;476;2
2;2;16;732;22;756;993;2
4;2;4;543;3;946;571;2
2;2;15;783;16;893;630;2
2;2;16;949;19;893;705;2
1;2;8;233;4;1433;303;2
2;2;16;574;10;1006;519;2
2;2;16;618;11;1006;612;2
1;1;15;0;0;3;1;2
1;1;15;0;0;3;0;2
4;2;4;580;3;1053;660;2
2;2;16;660;17;669;776;2
2;2;18;667;21;700;567;1
4;2;4;848;5;1053;576;2
2;2;15;970;14;991;606;2
3;1;3;0;0;2;1;2
3;2;4;553;3;562;1245;1
4;1;6;0;0;3;1;2
4;1;6;0;0;89;10;2
1;1;15;0;0;3;0;2
1;2;8;912;11;890;960;2
1;1;16;0;0;3;0;2
4;1;6;0;0;89;1;2
1;1;16;0;0;3;0;2
1;2;8;493;8;636;1283;2
3;2;2;1209;2;1247;1758;2
2;2;16;465;19;634;776;2
4;1;6;0;0;89;1;2
2;2;16;925;19;893;685;2
2;1;7;0;0;1;1;2
4;2;5;683;6;1085;874;2
2;2;16;758;21;759;902;2
2;2;15;923;15;991;639;2
2;2;16;770;18;845;832;2
4;1;6;0;0;89;1;2
1;1;16;0;0;2;0;2
2;2;15;642;20;673;984;2
2;2;16;776;19;845;838;2
2;2;16;523;19;634;731;2
1;2;8;570;8;636;1118;2
2;2;16;789;17;893;623;2
4;1;6;0;0;27;87;2
2;2;16;766;17;845;833;2
1;2;8;272;7;1329;525;2
1;2;8;373;8;1329;516;2
3;1;3;0;0;2;0;2
1;2;8;533;9;568;888;2
4;2;5;603;6;1085;861;2
1;2;8;476;9;636;1261;2
1;1;16;0;0;3;1;2
2;2;16;638;19;673;989;2
1;2;8;504;9;636;1336;2
2;2;16;728;22;673;982;2
2;2;16;740;21;826;909;2
2;2;16;661;18;669;885;2
4;2;5;903;7;1003;640;2
4;1;6;0;0;3;0;2
3;1;3;0;0;458;0;2
4;1;6;0;0;89;7;2
1;1;16;0;0;3;0;2
4;1;6;0;0;2;1;2
2;2;18;428;15;645;559;1
1;2;8;433;8;1329;681;2
3;1;3;0;0;2;1;2
2;2;16;630;18;673;984;2
4;1;6;0;0;2;26;2
2;1;7;0;0;139;1;2
3;1;3;0;0;830;0;2
2;2;16;750;22;750;970;2
1;1;16;0;0;3;0;2
4;2;5;620;6;1085;861;2
2;2;16;555;21;634;866;2
2;2;16;502;18;654;824;2
2;1;7;0;0;139;6;2
2;1;7;0;0;72;116;2
2;2;16;648;16;669;694;2
4;2;5;922;6;947;1051;2
4;2;5;594;6;1085;944;2
1;2;8;603;10;568;921;2
1;1;16;0;0;2;1;2
4;2;7;342;6;589;1001;1
2;2;16;533;20;634;885;2
2;1;7;0;0;2;0;2
2;1;7;0;0;139;47;2
4;1;6;0;0;3;1;2
3;1;3;0;0;830;0;2
1;2;8;1157;6;1350;385;1
4;1;6;0;0;3;0;2
4;2;5;1031;6;1085;920;2
2;2;17;606;13;654;476;2
3;2;4;642;4;683;393;1
4;1;6;0;0;3;1;2
4;1;6;0;0;3;1;2
2;2;16;568;19;654;759;2
2;1;7;0;0;62;70;2
4;1;6;0;0;3;1;2
2;2;19;284;12;702;457;1
2;2;16;561;22;634;891;2
2;2;15;471;20;634;790;2
4;2;5;839;5;690;692;2
4;2;5;867;6;690;686;2
2;2;16;496;17;654;757;2
1;2;8;439;9;1329;783;2
4;2;7;313;6;1169;946;1
4;1;6;0;0;3;1;2
2;2;16;472;19;654;843;2
2;2;17;435;14;645;614;1
4;1;6;0;0;9;1;2
4;1;6;0;0;3;0;2
3;1;5;0;0;134;457;2
3;1;7;0;0;107;1;2
1;1;15;0;0;3;0;2
1;1;16;0;0;3;1;2
4;1;6;0;0;3;0;2
2;2;16;584;15;654;672;2
2;2;16;544;13;654;607;2
2;2;16;402;19;654;811;2
2;2;15;562;15;654;667;2
2;2;16;619;16;654;754;2
1;1;16;0;0;3;0;2
2;2;16;606;15;654;639;2
1;1;15;0;0;3;0;2
1;1;16;0;0;3;1;2
2;1;7;0;0;3;1;2
2;2;18;533;16;721;526;1
4;1;6;0;0;3;1;2
2;2;16;480;15;654;754;2
2;2;16;578;14;654;667;2
1;1;16;0;0;3;0;2
1;2;8;288;4;1350;562;2
1;2;8;190;7;1329;575;2
2;1;7;0;0;2;1;2
4;2;5;751;5;690;633;2
4;1;6;0;0;10;0;2
2;2;16;619;15;654;748;2
4;2;7;373;6;1169;1043;1
1;2;8;347;4;1350;372;2
2;2;17;608;14;654;493;2
4;1;8;0;0;3;0;2
3;1;8;0;0;2;1;1
3;1;6;0;0;107;132;2
4;2;7;355;6;1169;1083;1
2;2;18;427;12;645;540;1
1;1;16;0;0;3;0;2
1;1;16;0;0;3;0;2
4;2;7;383;5;1169;478;1
1;2;8;230;6;1329;601;2
2;2;15;548;13;654;476;2
2;2;15;560;14;654;606;2
4;1;7;0;0;2;1;2
2;1;9;0;0;3;0;2
2;2;18;573;14;555;591;1
1;1;16;0;0;3;0;2
2;2;16;538;13;654;451;2
2;2;18;484;17;588;632;1
1;2;8;613;6;1350;247;1
1;2;8;290;6;1350;567;2
4;1;6;0;0;3;1;2
4;2;7;314;6;1169;689;1
1;2;8;1321;6;1350;234;1
4;1;6;0;0;10;1;2
1;2;8;1177;6;1324;679;1
2;1;21;0;0;2;0;1
3;2;4;418;3;545;873;1
4;1;6;0;0;10;7;2
2;2;19;306;13;702;541;1
2;2;18;463;14;645;616;1
4;1;6;0;0;3;8;2
1;2;8;288;4;1350;426;2
1;1;16;0;0;2;0;2
3;1;5;0;0;134;1;2
4;1;7;0;0;3;1;2
2;2;19;300;13;702;470;1
4;1;8;0;0;3;0;1
2;2;17;470;16;607;624;1
4;1;7;0;0;3;0;2
2;2;19;445;13;702;436;1
1;1;16;0;0;2;1;2
2;2;18;275;15;702;653;1
4;2;7;290;5;1169;294;1
4;1;8;0;0;3;1;2
2;2;18;342;15;702;553;1
3;1;8;0;0;115;1;1
1;2;8;1006;10;972;1212;1
2;2;18;369;13;702;550;1
2;2;19;499;12;702;433;1
4;2;7;318;6;1169;404;1
2;2;18;429;13;645;541;1
4;2;7;549;5;1246;332;1
2;2;18;361;12;702;530;1
2;2;18;310;15;370;695;1
3;1;7;0;0;107;27;2
2;2;18;401;15;663;580;1
2;2;18;267;14;702;623;1
1;2;8;1304;6;1324;508;1
1;1;16;0;0;2;0;2
1;2;9;810;11;754;1250;1
2;1;11;0;0;2;0;2
2;2;19;639;15;721;309;1
2;2;18;320;15;702;610;1
2;2;19;525;16;721;448;1
3;1;7;0;0;115;96;1
2;2;18;647;22;700;643;1
3;2;4;472;3;837;593;1
2;1;20;0;0;3;1;1
1;2;24;241;7;389;154;0
2;2;18;552;17;721;539;1
3;1;8;0;0;2;114;1
3;1;8;0;0;115;64;1
2;1;21;0;0;2;0;1
1;1;16;0;0;2;0;1
3;2;4;389;3;805;716;1
4;2;7;734;4;1246;327;1
1;2;8;820;9;1069;1327;1
2;2;18;489;17;529;569;1
1;2;12;370;6;344;733;1
2;1;21;0;0;2;0;1
4;1;8;0;0;3;1;1
4;1;8;0;0;3;1;1
4;2;7;1131;7;1240;783;1
2;1;21;0;0;2;0;1
4;2;7;553;6;1246;408;1
3;1;7;0;0;115;0;1
1;2;11;490;7;344;733;1
3;1;8;0;0;98;67;1
1;1;16;0;0;2;0;1
3;2;4;456;3;837;561;1
2;2;18;549;19;558;636;1
4;2;7;881;8;764;1103;1
4;2;7;754;5;1246;325;1
2;2;19;620;14;721;399;1
2;2;19;507;13;702;443;1
1;1;16;0;0;2;0;1
3;1;8;0;0;115;2;1
4;1;9;0;0;3;1;1
2;1;20;0;0;3;0;1
1;1;15;0;0;45;1;1
4;1;9;0;0;3;0;1
2;1;20;0;0;19;1;1
3;1;8;0;0;115;0;1
1;2;9;690;10;754;1348;1
2;2;19;593;14;721;375;1
1;2;9;726;8;667;918;1
2;1;21;0;0;3;0;1
2;2;19;580;12;721;308;1
2;1;21;0;0;3;0;1
4;2;7;793;7;764;1167;1
2;2;19;689;15;721;369;1
4;1;14;0;0;34;0;1
2;2;19;560;14;721;380;1
4;1;9;0;0;3;1;1
3;1;8;0;0;115;0;1
4;2;7;757;7;764;933;1
2;1;21;0;0;3;1;1
4;2;7;905;5;1246;546;1
1;2;9;622;9;754;1322;1
4;2;7;836;6;1246;527;1
4;2;7;949;6;1246;587;1
1;2;9;648;7;667;841;1
4;1;9;0;0;3;0;1
